Suchtext;Beguenstigter_Zahlungspflichtiger_Alternative
AMAZON;Amazon
PAYPAL;Paypal
PayPal;Paypal
DEKRA;Dekra
LIESEGANG;Liesegang
ALDI;Aldi
REWE;Rewe
EURONICS;Euronics
DB AUTOMAT;Deutsche Bahn
DB Vertrieb;Deutsche Bahn
Foerde Sparkasse;Foerde Sparkasse
BAUZENTRUM ZERSSEN;Bauzentrum Zerssen
C.J. SCHMIDT;C.J. Schmidt
A. Willer sagt Danke;Tankstelle A. Willer
SIGNAL IDUNA Gruppe;Signal Iduna
star Tankstelle;Tankstelle Star
FRISCHEMARKT SCHLUETER;Frischemarkt Schlueter
PARFUEMERIE DOUGLAS;Douglas
AVIA TS;Tankstelle Avia
Polo Motorrad;Polo Motorrad
POLO-Kiel;Polo Motorrad
GETRAENKE ROENNFELDT;Getraenke Roennfeldt
FAMILA MARKT;Famila
SHELL;Tankstelle Shell
Hawesko GmbH;Hawesko
DEICHMANN;Deichmann
HOHN//HOHN/DE;????
LOTTO LING;Lotto Ling
Hamburger Sparkasse;Hamburger Sparkasse
PRESS + BOOKS;Press+Books
KREDITKARTENABRECHNUNG;Master Card
MCDONALDS;McDonalds
KROSCHKE GMBH;Autoschilder Kroschke
KREIS RD-ECK;Kreis RD-ECK
ACHIM VOSS HANDELS GMBH;Das Futterhaus
team TS;Tankstelle Team
APOTHEKE HOHN;Apotheke Hohn
HUK-COBURG;HUK Coburg
ARBOREA Resort;Arborea Resort

